Rangasthalam | 9.4 | 2018 | Action, Drama | ./drama/6.jpg | India
Terminator 2: Judgment Day | 8.5 | 2008 | Action, Sci-Fi | ./sci-fi/9.jpg | USA
Theeran Adhigaaram Ondru | 8.5 | 2017 | Action, Crime, Thriller | ./thriller/37.jpg | India
Maalik | 8.5 | 2016 | Action, Crime, Drama | ./thriller/41.jpg | Pakistan
Trapped Abroad | 8.5 | 2014 | Action | ./action/34.jpg | Mongolia
The Dark Knight Rises | 8.4 | 2012 | Action, Thriller | ./thriller/44.jpg | UK, USA
Aliens | 8.4 | 1986 | Action, Adventure, Sci-Fi | ./thriller/45.jpg | USA
Baahubali 2: The Conclusion | 8.4 | 2017 | Action, Drama, Fantasy | ./fantasy/18.jpg | India
1 - Nenokkadine | 8.4 | 2014 | Action, Musical, Mystery | ./thriller/54.jpg | India
Vishwaroopam | 8.4 | 2013 | Action, Thriller | ./thriller/55.jpg | India
Jigarthanda | 8.4 | 2014 | Action, Crime, Drama | ./thriller/56.jpg | India
Yodha | 8.4 | 1992 | Action, Comedy | ./comedy/107.jpg | India
Mudhalvan | 8.4 | 1999 | Action, Drama, Thriller | ./thriller/58.jpg | India
Kala Pani | 8.4 | 1996 | Action, Drama | ./drama/233.jpg | India
Pithamagan | 8.4 | 2003 | Action, Crime, Drama | ./drama/250.jpg | India
Pudhu Pettai | 8.4 | 2006 | Action, Crime, Drama | ./thriller/63.jpg | India
Batman Begins | 8.3 | 2005 | Action, Adventure, Thriller | ./thriller/65.jpg | USA, UK
Indiana Jones and the Last Crusade | 8.3 | 1989 | Action, Adventure, Fantasy | ./fantasy/22.jpg | USA
Star Wars: Episode VI - Return of the Jedi | 8.3 | 1983 | Action, Adventure, Fantasy | ./sci-fi/19.jpg | USA
Mersal | 8.3 | 2017 | Action, Drama, Fantasy | ./thriller/73.jpg | India
Sherlock Jr. | 8.3 | 1924 | Action, Comedy, Romance | ./romance/66.jpg | USA
Athadu | 8.3 | 2005 | Action, Comedy, Musical | ./thriller/75.jpg | India
Virumandi | 8.3 | 2004 | Action, Drama, Romance | ./thriller/78.jpg | India
Baasha | 8.3 | 1995 | Action, Crime, Drama | ./crime/78.jpg | India
Ugramm | 8.3 | 2014 | Action, Drama, Thriller | ./thriller/80.jpg | India
Apoorva Sagodharargal | 8.3 | 1989 | Action, Comedy, Drama | ./drama/371.jpg | India
Ekskursante | 8.3 | 2013 | Action, Drama | ./drama/375.jpg | Lithuania
Die Hard | 8.2 | 1988 | Action, Thriller | ./thriller/85.jpg | USA
V for Vendetta | 8.2 | 2005 | Action, Drama, Sci-Fi | ./thriller/87.jpg | USA, UK, Germany
Gangs of Wasseypur | 8.2 | 2012 | Action, Crime, Drama | ./thriller/96.jpg | India
The General | 8.2 | 1926 | Action, Adventure, Comedy | ./western/8.jpg | USA
Haider | 8.2 | 2014 | Action, Crime, Drama | ./thriller/100.jpg | India
White Heat | 8.2 | 1949 | Action, Crime, Drama | ./drama/444.jpg | USA
Sholay | 8.2 | 1975 | Action, Adventure, Comedy | ./thriller/103.jpg | India
Paan Singh Tomar | 8.2 | 2012 | Action, Biography, Crime | ./thriller/104.jpg | India
Laal Rang | 8.2 | 2016 | Action, Crime, Drama | ./thriller/105.jpg | India
Hera Pheri | 8.2 | 2000 | Action, Comedy, Crime | ./thriller/109.jpg | India
Dhruva | 8.2 | 2016 | Action, Thriller | ./thriller/112.jpg | India
Waar | 8.2 | 2013 | Action, Crime, Thriller | ./thriller/114.jpg | Pakistan
Satya | 8.2 | 1998 | Action, Crime, Drama | ./thriller/115.jpg | India
Sarfarosh | 8.2 | 1999 | Action, Adventure, Drama | ./drama/485.jpg | India
Anniyan | 8.2 | 2005 | Action, Drama, Thriller | ./thriller/116.jpg | India
Maanagaram | 8.2 | 2017 | Action, Thriller | ./thriller/117.jpg | India
O21 | 8.2 | 2014 | Action, Thriller | ./thriller/118.jpg | Pakistan
Vedam | 8.2 | 2010 | Action, Crime, Drama | ./drama/524.jpg | India
Paruthiveeran | 8.2 | 2007 | Action, Drama, Romance | ./romance/131.jpg | India
Uriyadi | 8.2 | 2016 | Action, Thriller | ./thriller/126.jpg | India
Guardians of the Galaxy | 8.1 | 2014 | Action, Adventure, Sci-Fi | ./sci-fi/32.jpg | USA
Logan | 8.1 | 2017 | Action, Drama, Sci-Fi | ./thriller/130.jpg | Canada, Australia, USA
The Avengers | 3.7 | 2012 | Action, Adventure, Sci-Fi | ./sci-fi/2351.jpg | USA
Mad Max: Fury Road | 8.1 | 2015 | Action, Adventure, Sci-Fi | ./thriller/131.jpg | Australia, USA
Kill Bill: Vol. 1 | 8.1 | 2003 | Action, Crime, Thriller | ./thriller/137.jpg | USA
How to Train Your Dragon | 8.1 | 2010 | Animation, Action, Adventure | ./fantasy/53.jpg | USA
Bajrangi Bhaijaan | 8.1 | 2015 | Action, Adventure, Comedy | ./drama/662.jpg | India
Airlift | 8.1 | 2016 | Action, Drama, History | ./history/66.jpg | India
Who Killed Captain Alex? | 8.1 | 2010 | Action, Crime, Mystery | ./war/91.jpg | Uganda
Baby | 8.1 | 2015 | Action, Thriller | ./thriller/162.jpg | India
Omkara | 8.1 | 2006 | Action, Crime, Drama | ./thriller/166.jpg | India
Deewaar | 8.1 | 1975 | Action, Crime, Drama | ./thriller/169.jpg | India
Anjathe | 8.1 | 2008 | Action, Drama, Thriller | ./thriller/172.jpg | India
Angamaly Diaries | 8.1 | 2017 | Action, Comedy, Thriller | ./thriller/174.jpg | India
PSV Garuda Vega | 8.1 | 2017 | Action, Drama | ./drama/765.jpg | India
Ramana | 8.1 | 2002 | Action, Drama | ./drama/767.jpg | India
Traffic | 6.7 | 2000 | Adventure, Drama, Thriller | ./thriller/2657.jpg | USA, Germany
Aaram Thamburan | 8.1 | 1997 | Action, Drama | ./drama/770.jpg | India
Kammatti Paadam | 8.1 | 2016 | Action, Drama, Thriller | ./thriller/179.jpg | India
Indian | 8.1 | 2001 | Action, Drama, Thriller | ./thriller/181.jpg | India
Okkadu | 8.1 | 2003 | Action, Romance | ./romance/203.jpg | India
Pathinaru Vayathinile | 8.1 | 1977 | Action, Drama, Romance | ./romance/209.jpg | India
Padaiyappa | 8.1 | 1999 | Action, Comedy, Drama | ./romance/212.jpg | India
Fortified | 8.1 | 2008 | Action, Thriller | ./thriller/191.jpg | USA
Ready Player One | 8.0 | 2018 | Action, Adventure, Sci-Fi | ./sci-fi/48.jpg | USA
Deadpool | 8.0 | 2016 | Action, Adventure, Comedy | ./sci-fi/49.jpg | USA
Dunkirk | 7.0 | 2017 | Drama, History, War | ./war/758.jpg | Netherlands, UK, France, USA
The Incredibles | 8.0 | 2004 | Animation, Action, Adventure | ./family/91.jpg | USA
Star Wars: Episode VII - The Force Awakens | 8.0 | (2004) | Action, Adventure, Fantasy | ./action/141.jpg | USA
Pirates of the Caribbean: The Curse of the Black Pearl | 8.0 | 2003 | Action, Adventure, Fantasy | ./fantasy/74.jpg | USA
Star Trek | 8.0 | 2009 | Action, Adventure, Sci-Fi | ./sci-fi/52.jpg | USA, Germany
X-Men: Days of Future Past | 8.0 | 2014 | Action, Adventure, Sci-Fi | ./thriller/198.jpg | USA, UK, Canada
The Terminator | 8.0 | 1984 | Action, Sci-Fi | ./sci-fi/55.jpg | UK, USA
Casino Royale | 8.0 | 2006 | Action, Adventure, Thriller | ./thriller/201.jpg | UK, Czech Republic, USA, Germany, Bahamas, Italy
Kill Bill: Vol. 2 | 8.0 | 2004 | Action, Crime, Thriller | ./thriller/202.jpg | USA
The Iron Giant | 8.0 | 1999 | Animation, Action, Adventure | ./sci-fi/56.jpg | USA
The Bourne Ultimatum | 8.0 | 2007 | Action, Mystery, Thriller | ./thriller/209.jpg | USA, Germany, France, Spain
The Wild Bunch | 8.0 | 1969 | Action, Adventure, Western | ./western/17.jpg | USA
Rio Bravo | 8.0 | 1959 | Action, Drama, Western | ./western/18.jpg | USA
High Noon | 8.0 | 1952 | Action, Drama, Thriller | ./western/19.jpg | USA
The Adventures of Robin Hood | 8.0 | 1938 | Action, Adventure, Romance | ./romance/242.jpg | USA
Company | 8.0 | 2002 | Action, Crime, Drama | ./thriller/236.jpg | India
One Piece Film Z | 8.0 | 2012 | Animation, Action, Adventure | ./animation/69.jpg | Japan
Steamboat Bill, Jr. | 8.0 | 1928 | Action, Comedy, Drama | ./romance/274.jpg | USA
1971 | 8.0 | 2007 | Action, Drama, War | ./war/133.jpg | India
Kaththi | 8.0 | 2014 | Action, Drama | ./action/167.jpg | India
The Navigator | 8.0 | 1924 | Action, Comedy, Romance | ./romance/281.jpg | USA
Gentleman | 7.1 | 1993 | Mystery, Romance, Thriller | ./thriller/1658.jpg | India
Madras | 8.0 | 2014 | Action, Drama | ./drama/1114.jpg | India
Aadukalam | 8.0 | 2011 | Action, Drama, Romance | ./thriller/254.jpg | India
Vettaiyaadu Vilaiyaadu | 8.0 | 2006 | Action, Crime, Thriller | ./thriller/257.jpg | India
Iron Man | 7.9 | 2008 | Action, Adventure, Sci-Fi | ./sci-fi/71.jpg | USA
Edge of Tomorrow | 7.9 | 2014 | Action, Adventure, Sci-Fi | ./sci-fi/73.jpg | USA, Canada
Hot Fuzz | 7.9 | 2007 | Action, Comedy | ./comedy/466.jpg | UK, France, USA
The Boondock Saints | 7.9 | 1999 | Action, Crime, Thriller | ./thriller/269.jpg | USA, Canada
Serenity | 7.9 | 2005 | Action, Adventure, Sci-Fi | ./thriller/270.jpg | USA
The Bourne Identity | 7.9 | 2002 | Action, Mystery, Thriller | ./thriller/271.jpg | USA, Germany, Czech Republic
Bonnie and Clyde | 7.9 | 1967 | Action, Biography, Crime | ./drama/1197.jpg | USA
Huo guo ying xiong | 6.6 | 2016 | Thriller | ./thriller/2928.jpg | China
Batman: Mask of the Phantasm | 7.9 | 1993 | Animation, Action, Adventure | ./thriller/282.jpg | USA
Key Largo | 7.9 | 1948 | Action, Crime, Drama | ./thriller/285.jpg | USA
The Roaring Twenties | 7.9 | 1939 | Action, Crime, Drama | ./thriller/300.jpg | USA
Lakshya | 7.9 | 2004 | Action, Adventure, Drama | ./war/167.jpg | India
Parinda | 7.9 | 1989 | Action, Crime, Drama | ./romance/370.jpg | India
Gangaajal | 7.9 | 2003 | Action, Crime, Drama | ./drama/1337.jpg | India
Thuppakki | 7.9 | 2012 | Action, Thriller | ./thriller/314.jpg | India
Maachis | 7.9 | 1996 | Action, Crime, Drama | ./thriller/315.jpg | India
Thammudu | 7.9 | 1999 | Action, Drama, Romance | ./sport/29.jpg | India
Border | 7.9 | 1997 | Action, Drama, History | ./war/179.jpg | India
Subramaniapuram | 7.9 | 2008 | Action, Drama, Romance | ./thriller/321.jpg | India
Pokiri | 7.9 | 2006 | Action, Crime, Thriller | ./thriller/324.jpg | India
Arya | 7.9 | 2004 | Action, Drama, Romance | ./romance/414.jpg | India
Brat 2 | 7.9 | (2004) | Action, Crime, Thriller | ./action/221.jpg | USA
Battle of Surabaya | 7.9 | 2015 | Animation, Action, Adventure | ./adventure/209.jpg | Indonesia
Black Panther | 7.8 | 2018 | Action, Adventure, Sci-Fi | ./sci-fi/88.jpg | USA
Captain America: Civil War | 7.8 | 2016 | Action, Adventure, Sci-Fi | ./sci-fi/89.jpg | USA, Germany
Avatar | 7.8 | 2009 | Action, Adventure, Fantasy | ./sci-fi/90.jpg | UK, USA
Rogue One | 7.8 | (2009) | Action, Adventure, Sci-Fi | ./action/232.jpg | USA
Captain America: The Winter Soldier | 7.8 | 2014 | Action, Adventure, Sci-Fi | ./thriller/342.jpg | USA
Ghost Busters | 7.8 | (2014) | Action, Comedy, Fantasy | ./action/234.jpg | USA
Raid | 7.2 | 2018 | Action, Crime, Thriller | ./thriller/1417.jpg | India
Skyfall | 7.8 | 2012 | Action, Adventure, Thriller | ./thriller/345.jpg | UK, USA
Big Hero 6 | 7.8 | 2014 | Animation, Action, Adventure | ./sci-fi/94.jpg | USA
Predator | 7.8 | 1987 | Action, Sci-Fi, Thriller | ./thriller/348.jpg | USA
Tombstone | 7.8 | 1993 | Action, Biography, Drama | ./western/28.jpg | USA
The LEGO Movie | 7.8 | (1993) | Animation, Action, Adventure | ./action/242.jpg | Australia, USA, Denmark
Taken | 7.8 | 2008 | Action, Crime, Thriller | ./thriller/351.jpg | France
Star Trek: Into Darkness | 7.8 | 2013 | Action, Adventure, Sci-Fi | ./sci-fi/98.jpg | USA
The Last of the Mohicans | 7.8 | 1992 | Action, Adventure, Drama | ./war/186.jpg | USA
How to Train Your Dragon 2 | 7.8 | 2014 | Animation, Action, Adventure | ./fantasy/148.jpg | USA
The Fugitive | 7.8 | 1993 | Action, Crime, Drama | ./thriller/353.jpg | USA
Kubo and the Two Strings | 7.8 | 2016 | Animation, Action, Adventure | ./fantasy/149.jpg | USA
The Magnificent Seven | 6.9 | 2016 | Action, Adventure, Western | ./western/256.jpg | USA
The Count of Monte Cristo | 7.6 | 2002 | Action, Adventure, Drama | ./thriller/638.jpg | UK, USA, Ireland
The Bourne Supremacy | 7.8 | 2004 | Action, Mystery, Thriller | ./thriller/362.jpg | USA, Germany
Dirty Harry | 7.8 | 1971 | Action, Crime, Thriller | ./thriller/367.jpg | USA
The French Connection | 7.8 | 1971 | Action, Crime, Drama | ./thriller/370.jpg | USA
The Dirty Dozen | 7.8 | 1967 | Action, Adventure, War | ./war/191.jpg | UK, USA
The Longest Day | 7.8 | 1962 | Action, Drama, History | ./war/192.jpg | USA
Scarface | 7.8 | 1983 | Action, Crime, Drama | ./thriller/388.jpg | USA
Red River | 7.8 | 1948 | Action, Adventure, Romance | ./western/33.jpg | USA
Udta Punjab | 7.8 | 2016 | Action, Crime, Drama | ./drama/1626.jpg | India
Captain Blood | 7.8 | 1935 | Action, Adventure | ./adventure/247.jpg | USA
Road to Ninja: Naruto the Movie | 7.8 | 2012 | Animation, Action, Adventure | ./fantasy/162.jpg | Japan
The Sea Hawk | 7.8 | 1940 | Action, Adventure, History | ./romance/507.jpg | USA
Mr. India | 7.8 | 1987 | Action, Comedy, Drama | ./sci-fi/108.jpg | India
Eega | 7.8 | 2012 | Action, Comedy, Fantasy | ./fantasy/166.jpg | India
Beau Geste | 7.8 | 1939 | Action, Adventure, Drama | ./war/212.jpg | USA
Ko | 7.8 | 2011 | Action, Thriller | ./thriller/416.jpg | India
Tagore | 7.8 | 2003 | Action, Drama | ./drama/1838.jpg | India
Nayak: The Real Hero | 7.8 | 2001 | Action, Drama, Thriller | ./thriller/424.jpg | India
Kick | 7.8 | 2014 | Action, Comedy, Crime | ./thriller/425.jpg | India
Don | 7.2 | 2006 | Action, Crime, Thriller | ./thriller/1341.jpg | India
The Dawn Patrol | 7.6 | 1938 | War, Drama | ./war/325.jpg | USA
Na Maloom Afraad | 7.8 | 2014 | Action, Comedy, Crime | ./thriller/428.jpg | Pakistan
Velaiilla Pattadhari | 7.8 | 2014 | Action, Drama | ./drama/1872.jpg | India
Sehar | 7.8 | 2005 | Action, Crime, Drama | ./drama/1873.jpg | India
Initial D: Third Stage | 7.8 | 2001 | Animation, Action, Romance | ./sport/48.jpg | Japan
Heneral Luna | 7.8 | 2015 | Action, History | ./history/183.jpg | Philippines
Ghilli | 7.8 | 2004 | Action, Comedy, Romance | ./sport/49.jpg | India
Agni Natchathiram | 7.8 | 1988 | Action, Crime, Drama | ./thriller/438.jpg | India
Kaala Patthar | 7.8 | 1979 | Action, Drama, History | ./thriller/440.jpg | India
Vietnam Colony | 7.8 | 1992 | Action, Comedy, Drama | ./drama/1964.jpg | India
Dhruvam | 7.8 | 1993 | Action, Drama, Thriller | ./thriller/441.jpg | India
Guardians of the Galaxy Vol. 2 | 7.7 | 2017 | Action, Adventure, Sci-Fi | ./sci-fi/116.jpg | USA, New Zealand, Canada
Kingsman: The Secret Service | 7.7 | 2014 | Action, Adventure, Comedy | ./thriller/447.jpg | UK, USA
300 | 7.7 | 2006 | Action, Fantasy | ./fantasy/186.jpg | USA
Minority Report | 7.7 | 2002 | Action, Adventure, Crime | ./thriller/450.jpg | USA
The Warriors | 7.7 | 1979 | Action, Crime, Thriller | ./thriller/458.jpg | USA
The Last Samurai | 7.7 | 2003 | Action, Drama, History | ./war/236.jpg | USA, New Zealand, Japan
Man on Fire | 7.7 | 2004 | Action, Crime, Drama | ./thriller/461.jpg | USA, UK
Enter the Dragon | 7.7 | 1973 | Action, Crime, Drama | ./thriller/470.jpg | Hong Kong, USA
Forbidden Planet | 7.7 | 1956 | Action, Adventure, Sci-Fi | ./thriller/475.jpg | USA
The Taking of Pelham One Two Three | 7.7 | 1974 | Action, Crime, Thriller | ./thriller/478.jpg | USA
Where Eagles Dare | 7.7 | 1968 | Action, Adventure, War | ./war/240.jpg | UK, USA
Henry V | 7.7 | 1989 | Action, Biography, Drama | ./war/243.jpg | UK
Huo yuanjia | 7.7 | (1989) | Action, Biography, Drama | ./action/329.jpg | Hong Kong
Wings | 7.7 | 1927 | Drama, Romance, War | ./war/245.jpg | USA
Winchester '73 | 7.7 | 1950 | Action, Drama, Western | ./western/43.jpg | USA
Madras Cafe | 7.7 | 2013 | Action, Drama, History | ./war/251.jpg | India
Vampire Hunter D: Bloodlust | 7.7 | 2000 | Animation, Action, Adventure | ./western/47.jpg | Japan, USA
Magadheera | 7.7 | 2009 | Action, Drama, Fantasy | ./romance/695.jpg | India
The Ghazi Attack | 7.7 | 2017 | Action, History, Thriller | ./war/260.jpg | India
Speedy | 7.7 | 1928 | Action, Comedy, Family | ./family/191.jpg | USA
Agneepath | 7.7 | 2012 | Action, Crime, Drama | ./drama/2284.jpg | India
Voyna i mir I: Andrey Bolkonskiy | 8.3 | 1965 | Drama, War | ./war/50.jpg | Soviet Union
Saala Khadoos | 7.7 | 2016 | Action, Drama, Sport | ./sport/59.jpg | India
Action Hero Biju | 7.7 | 2016 | Action, Comedy, Thriller | ./thriller/540.jpg | India
Jerusalema | 7.7 | (2016) | Action, Crime, Drama | ./action/371.jpg | South Africa
Bal-Can-Can | 7.7 | 2005 | Action, Adventure, Comedy | ./war/282.jpg | Italy, Republic of Macedonia, UK
Hebbuli | 7.7 | 2017 | Action, Crime, Thriller | ./thriller/548.jpg | India
Zanjeer | 7.7 | 1973 | Action, Crime, Drama | ./thriller/550.jpg | India
Yalghaar | 7.7 | 2017 | Action, Romance, War | ./war/284.jpg | Pakistan
Ghayal | 7.7 | 1990 | Action, Crime, Drama | ./thriller/551.jpg | India
Vikramarkudu | 7.7 | 2006 | Action | ./action/380.jpg | India
Power Paandi | 7.7 | 2017 | Action, Drama, Family | ./romance/805.jpg | India
Mircea | 7.7 | (2017) | Action, Drama, History | ./action/383.jpg | Romania
Ultimul cartus | 7.6 | 1973 | Action, Crime | ./crime/611.jpg | Romania
Asthram | 7.7 | 2006 | Action, Crime, Thriller | ./thriller/563.jpg | India
Sicario | 7.6 | 2015 | Action, Crime, Drama | ./thriller/564.jpg | USA
Watchmen | 7.6 | 2009 | Action, Drama, Mystery | ./sci-fi/141.jpg | USA
Sherlock Holmes | 7.6 | 2009 | Action, Adventure, Crime | ./thriller/567.jpg | USA, Germany
Batman | 6.5 | 1989 | Action, Adventure, Crime | ./thriller/3114.jpg | USA, UK
Indiana Jones and the Temple of Doom | 7.6 | 1984 | Action, Adventure | ./adventure/341.jpg | USA
Star Wars: Episode III - Revenge of the Sith | 7.6 | 2005 | Action, Adventure, Fantasy | ./sci-fi/142.jpg | USA
Kick-Ass | 7.6 | 2010 | Action, Comedy | ./comedy/1003.jpg | UK, USA
The Hunt for Red October | 7.6 | 1990 | Action, Adventure, Thriller | ./thriller/575.jpg | USA
Dawn of the Planet of the Apes | 7.6 | 2014 | Action, Adventure, Drama | ./sci-fi/144.jpg | USA, UK, Canada
Lethal Weapon | 7.6 | 1987 | Action, Crime, Thriller | ./thriller/578.jpg | USA
Kung Fu Panda | 7.6 | 2008 | Animation, Action, Adventure | ./fantasy/240.jpg | USA
Rise of the Planet of the Apes | 7.6 | 2011 | Action, Drama, Sci-Fi | ./thriller/584.jpg | USA, UK, Canada
Die Hard with a Vengeance | 7.6 | 1995 | Action, Adventure, Thriller | ./thriller/591.jpg | USA
Star Trek: First Contact | 7.6 | 1996 | Action, Adventure, Drama | ./thriller/598.jpg | USA
Midnight Run | 7.6 | 1988 | Action, Comedy, Crime | ./thriller/600.jpg | USA
It's a Mad Mad Mad Mad World | 7.6 | 1963 | Action, Adventure, Comedy | ./crime/507.jpg | USA
Shi mian mai fu | 7.6 | 1989 | Action, Adventure, Drama | ./romance/851.jpg | Hong Kong
The Guns of Navarone | 7.6 | 1961 | Action, Adventure, Drama | ./war/301.jpg | USA, UK
Tarzan and His Mate | 7.6 | 1934 | Action, Adventure | ./adventure/366.jpg | USA
Zui quan | 7.6 | (1934) | Action, Comedy | ./action/421.jpg | Hong Kong
Foreign Correspondent | 7.6 | 1940 | Action, Romance, Thriller | ./war/310.jpg | USA
Adventures of Captain Marvel | 7.6 | 1941 | Action, Adventure, Fantasy | ./sci-fi/155.jpg | USA
The Mark of Zorro | 7.2 | 1940 | Adventure, Romance, Western | ./western/167.jpg | USA
Titli | 7.6 | 2014 | Action, Drama, Thriller | ./thriller/634.jpg | India
High Sierra | 7.6 | 1941 | Action, Adventure, Crime | ./thriller/650.jpg | USA
Jodhaa Akbar | 7.6 | 2008 | Action, Adventure, Biography | ./romance/908.jpg | India
Sonatine | 7.6 | 1993 | Action, Comedy, Crime | ./thriller/653.jpg | Japan
Sien nui yau wan | 7.6 | 2011 | Action, Comedy, Fantasy | ./romance/914.jpg | China, Hong Kong
Scaramouche | 7.6 | 1952 | Action, Adventure, Comedy | ./romance/922.jpg | USA
Detective Byomkesh Bakshy! | 7.6 | 2015 | Action, Mystery, Thriller | ./thriller/657.jpg | India
A Touch of Zen | 7.6 | 1971 | Action, Adventure, Drama | ./thriller/660.jpg | Hong Kong, Taiwan
Srimanthudu | 7.6 | 2015 | Action, Drama | ./drama/2828.jpg | India
Qayamat Se Qayamat Tak | 7.6 | 1988 | Action, Drama, Musical | ./romance/960.jpg | India
Thupparivaalan | 7.6 | 2017 | Action, Crime, Thriller | ./thriller/673.jpg | India
Khaleja | 7.6 | 2010 | Action, Comedy, Drama | ./drama/2904.jpg | India
Velaikkaran | 7.6 | 2017 | Action, Thriller | ./thriller/674.jpg | India
Ayirathil Oruvan | 7.6 | 2010 | Action, Adventure, Fantasy | ./thriller/676.jpg | India
Ekipazh | 7.6 | 1980 | Action, Drama, Thriller | ./thriller/677.jpg | Soviet Union
Amar Akbar Anthony | 7.6 | 1977 | Action, Comedy, Drama | ./family/242.jpg | India
Rakhta Charitra | 7.6 | 2010 | Action, Biography, Crime | ./thriller/679.jpg | India
Nandha | 7.6 | 2001 | Action, Drama | ./drama/2969.jpg | India
Kiler | 7.6 | 1997 | Action, Comedy, Crime | ./crime/581.jpg | Poland
Mankatha | 7.6 | 2011 | Action, Comedy, Crime | ./thriller/684.jpg | India
Chatrapathi | 7.6 | 2005 | Action | ./action/482.jpg | India
The Great Father | 7.6 | 2017 | Action, Crime, Drama | ./thriller/685.jpg | India
Oppam | 7.6 | 2016 | Action, Drama, Thriller | ./thriller/697.jpg | India
Naadodigal | 7.6 | 2009 | Action, Comedy, Drama | ./thriller/699.jpg | India
Khadgam | 7.6 | 2002 | Action, Crime, Drama | ./thriller/702.jpg | India
Karz | 7.6 | 1980 | Action, Musical, Romance | ./thriller/703.jpg | India
For Heaven's Sake | 7.6 | 1926 | Action, Comedy, Romance | ./romance/1035.jpg | USA
Suryam | 7.6 | 2004 | Action, Romance | ./romance/1036.jpg | India
Mouna Guru | 7.6 | 2011 | Action, Thriller | ./thriller/707.jpg | India
The Freediver | 7.6 | 2004 | Action, Adventure | ./adventure/421.jpg | UK
Pichaikkaran | 7.6 | 2016 | Action | ./action/506.jpg | India
New Delhi | 7.6 | 1987 | Action, Crime, Drama | ./thriller/709.jpg | India
Wonder Woman | 7.5 | 2017 | Action, Adventure, Fantasy | ./war/350.jpg | Hong Kong, China, USA
Spider-Man: Homecoming | 7.5 | 2017 | Action, Adventure, Sci-Fi | ./sci-fi/168.jpg | USA
Doctor Strange | 7.5 | 2016 | Action, Adventure, Fantasy | ./sci-fi/169.jpg | USA
John Wick: Chapter 2 | 7.5 | 2017 | Action, Crime, Thriller | ./thriller/713.jpg | USA, Hong Kong
War for the Planet of the Apes | 7.5 | 2017 | Action, Adventure, Drama | ./thriller/714.jpg | USA, Canada, New Zealand
Scott Pilgrim vs. the World | 7.5 | 2010 | Action, Comedy, Romance | ./romance/1049.jpg | USA, UK, Canada, Japan
Cloud Atlas | 7.5 | 2012 | Action, Drama, Mystery | ./sci-fi/171.jpg | Germany, USA, Hong Kong, Singapore
Sherlock Holmes: A Game of Shadows | 7.5 | 2011 | Action, Adventure, Crime | ./thriller/717.jpg | USA
The Hunger Games: Catching Fire | 7.5 | 2013 | Action, Adventure, Mystery | ./thriller/718.jpg | USA
Total Recall | 6.3 | 1990 | Action, Adventure, Mystery | ./thriller/3617.jpg | USA
Lone Survivor | 7.5 | 2013 | Action, Biography, Drama | ./war/352.jpg | USA
X2 | 7.5 | (2013) | Action, Adventure, Fantasy | ./action/521.jpg | USA
RoboCop | 7.5 | 1987 | Action, Crime, Sci-Fi | ./thriller/730.jpg | USA
Equilibrium | 7.5 | 2002 | Action, Drama, Sci-Fi | ./thriller/732.jpg | USA
